city_name,ref_year,metabolite_name,daily_mean_concentration,nuts_code,gdp
Amsterdam,2024,ketamine,132.21,NL321,16678580000.0
Innsbruck,2018,cannabis,91.09,AT332,14362680000.0
Prague (2),2012,MDMA,9.54,CZ010,42300900000.0
Eindhoven,2016,cocaine,497.87,NL414,36293100000.0
Eindhoven,2020,MDMA,101.21,NL414,43712290000.0
Helsinki,2012,cocaine,9.27,FI1B1,75617710000.0
Geneva,2013,MDMA,18.78,CH013,41553250000.0
Athens,2020,cannabis,41.56,EL303,28736340000.0
Ankara,2023,cannabis,24.4,TR510,107971630000.0
Wasserverband Hofsteig,2020,cocaine,196.67,AT342,13857760000.0
Innsbruck,2019,methamphetamine,1.91,AT332,14927820000.0
Prague (2),2024,ketamine,13.59,CZ010,86596180000.0
Koper,2022,MDMA,4.71,SI044,3088180000.0
Nuremberg,2021,MDMA,12.14,DE254,33875540000.0
Nuremberg,2020,methamphetamine,123.56,DE254,31683630000.0
Odense,2024,methamphetamine,1.5,DK031,23636720000.0
Umea,2011,cannabis,0.0,SE331,9857530000.0
Umea,2012,cannabis,0.0,SE331,10394180000.0
Amsterdam,2020,methamphetamine,26.53,NL321,12017310000.0
Umea,2013,cannabis,0.0,SE331,10358380000.0
St. Gallen Hofen,2017,cocaine,821.69,CH055,34264730000.0
Kapfenberg,2022,methamphetamine,2.58,AT224,9870930000.0
Koper,2021,cocaine,406.55,SI044,2646180000.0
Castellon,2023,cannabis,75.27,ES522,17662000000.0
Odense,2024,cocaine,406.63,DK031,23636720000.0
Wasserverband Hofsteig,2022,cocaine,320.13,AT342,18380660000.0
Klosterneuburg,2015,methamphetamine,0.0,AT126,8688180000.0
Amsterdam,2013,cocaine,393.0,NL321,10153920000.0
St. Gallen Hofen,2021,cocaine,1336.68,CH055,40261870000.0
Barcelona,2019,MDMA,54.76,ES511,180560200000.0
Amsterdam,2013,amphetamine,70.81,NL321,10153920000.0
Novo mesto,2019,MDMA,8.77,SI037,3335080000.0
Prague (2),2021,amphetamine,40.07,CZ010,66697280000.0
Budapest,2024,methamphetamine,11.01,HU110,80200670000.0
Adana,2021,MDMA,13.68,TR621,14318890000.0
Dortmund,2017,MDMA,18.56,DEA52,23082650000.0
Milan,2019,cannabis,35.68,ITC4C,185440930000.0
Amsterdam,2011,cocaine,644.1,NL321,9928680000.0
Zurich,2021,cocaine,790.58,CH040,145623080000.0
Wiener Neustadt,2023,methamphetamine,31.58,AT122,10049810000.0
Brussels,2012,MDMA,12.98,BE100,73023930000.0
Barcelona,2018,amphetamine,35.2,ES511,173436300000.0
Turku,2015,MDMA,18.72,FI1C1,16297670000.0
Castellon,2012,cannabis,117.35,ES522,12669200000.0
Athens,2017,amphetamine,2.24,EL303,30257680000.0
Dresden,2015,methamphetamine,150.0,DE142,6980170000.0
Santiago,2018,MDMA,14.32,ES114,20883400000.0
Graz,2019,amphetamine,26.67,AT221,23593740000.0
Santiago,2020,MDMA,29.64,ES114,20140300000.0
Amsterdam,2013,methamphetamine,5.24,NL321,10153920000.0
Turku,2015,cocaine,0.85,FI1C1,16297670000.0
Prague (2),2019,amphetamine,81.29,CZ010,61469810000.0
St. Gallen Hofen,2018,cocaine,708.34,CH055,33764220000.0
Kajaani,2024,methamphetamine,2.51,FI1D8,2742530000.0
Geneva,2016,MDMA,32.3,CH013,46913820000.0
Bozen,2022,amphetamine,0.0,ITH10,29801650000.0
Geneva,2021,MDMA,14.7,CH013,53745470000.0
Chemnitz,2023,MDMA,12.84,DE144,12947060000.0
Castellon,2013,MDMA,6.43,ES522,12619800000.0
Zagreb,2017,methamphetamine,0.0,HR050,17005490000.0
Zagreb,2019,methamphetamine,0.0,HR050,19163550000.0
Zagreb,2016,methamphetamine,0.0,HR050,16059520000.0
Zagreb,2021,methamphetamine,0.0,HR050,19888470000.0
Novo mesto,2023,cannabis,73.9,SI037,4009180000.0
Zagreb,2018,methamphetamine,0.0,HR050,18103730000.0
Zagreb,2023,methamphetamine,0.0,HR050,26671220000.0
Zurich,2020,cannabis,114.68,CH040,141627850000.0
Munich G,2019,methamphetamine,8.01,DE212,126673680000.0
Zagreb,2022,methamphetamine,0.0,HR050,22314500000.0
