city,year,metabolite_name,daily_mean_concentration
Brno,2023,mdma,15.51
Brno,2023,cannabis,45.5
Brno,2023,cocaine,115.61
Brno,2023,methamphetamine,307.73
Brno,2023,ketamine,2.01
Brno,2024,mdma,16.12
Brno,2024,amphetamine,26.51
Brno,2024,cannabis,72.31
Brno,2024,cocaine,193.39
Brno,2024,methamphetamine,417.53
Brno,2024,ketamine,3.82
Brussels,2011,mdma,7.45
Brussels,2011,amphetamine,35.39
Brussels,2011,cocaine,184.32
Brussels,2011,methamphetamine,0
Brussels,2012,mdma,12.98
Brussels,2012,amphetamine,38.85
Brussels,2012,cannabis,73.11
Brussels,2012,cocaine,187.19
Brussels,2012,methamphetamine,2.09
Brussels,2013,mdma,15.27
Brussels,2013,amphetamine,24.8
Brussels,2013,cannabis,89.47
Brussels,2013,cocaine,223.81
Brussels,2013,methamphetamine,1.71
Brussels,2015,mdma,21.95
Brussels,2015,amphetamine,58.28
Brussels,2015,cocaine,472.36
Brussels,2015,methamphetamine,3.67
Brussels,2016,mdma,34.41
Brussels,2016,amphetamine,36.83
Brussels,2016,cocaine,416.83
Brussels,2016,methamphetamine,3.84
Brussels,2017,mdma,25.15
Brussels,2017,amphetamine,49.17
Brussels,2017,cocaine,373.81
Brussels,2017,methamphetamine,6.8
Brussels,2018,mdma,28.66
Brussels,2018,amphetamine,34.96
Brussels,2018,cocaine,432.53
Brussels,2018,methamphetamine,7.21
Brussels,2019,mdma,28.65
Brussels,2019,amphetamine,46.52
Brussels,2019,cocaine,454.56
Brussels,2019,methamphetamine,9.83
Brussels,2020,mdma,22.28
Brussels,2020,amphetamine,55.99
Brussels,2020,cocaine,474.2
Brussels,2020,methamphetamine,11.39
Brussels,2021,mdma,25.09
Brussels,2021,amphetamine,75.58
Brussels,2021,cocaine,768.08
Brussels,2021,methamphetamine,17.58
Brussels,2022,mdma,53.7
Brussels,2022,amphetamine,123.98
Brussels,2022,cocaine,984.8
Brussels,2022,methamphetamine,27.73
Brussels,2023,mdma,30.02
Brussels,2023,amphetamine,50.82
Brussels,2023,cocaine,598.22
Brussels,2023,methamphetamine,16.45
Brussels,2023,ketamine,25.06
Brussels,2024,mdma,76.97
Brussels,2024,amphetamine,85.56
Brussels,2024,cocaine,1186.34
Brussels,2024,methamphetamine,40.26
Brussels,2024,ketamine,43.38
Bucharest,2023,mdma,15.16
Bucharest,2023,amphetamine,3.73
Bucharest,2023,cocaine,175.53
Bucharest,2023,methamphetamine,0
Bucharest,2023,ketamine,9.23
Bucharest,2024,mdma,11.01
Bucharest,2024,amphetamine,4.97
Bucharest,2024,cocaine,200.11
Bucharest,2024,methamphetamine,3.03
Bucharest,2024,ketamine,11.17
Budapest,2024,amphetamine,203.79
Budapest,2024,cannabis,56.78
Budapest,2024,cocaine,311.72
Budapest,2024,methamphetamine,11.01
Budapest,2024,ketamine,79.5
Castellon,2011,mdma,0
Castellon,2011,amphetamine,0
Castellon,2011,cannabis,101.73
Castellon,2011,cocaine,371.57
Castellon,2011,methamphetamine,0
Castellon,2012,mdma,0
Castellon,2012,amphetamine,0
Castellon,2012,cannabis,117.35
Castellon,2012,cocaine,262.96
Castellon,2012,methamphetamine,0
Castellon,2013,mdma,6.43
Castellon,2013,amphetamine,8.6
Castellon,2013,cannabis,55.74
Castellon,2013,cocaine,174.51
Castellon,2013,methamphetamine,0
Castellon,2014,mdma,4.12
Castellon,2014,amphetamine,0
Castellon,2014,cocaine,206.28
Castellon,2014,methamphetamine,0
Castellon,2015,mdma,3.48
Castellon,2015,amphetamine,0
Castellon,2015,cocaine,126.64
Castellon,2015,methamphetamine,0
Castellon,2016,mdma,5.96
Castellon,2016,amphetamine,0
Castellon,2016,cocaine,364.67
Castellon,2016,methamphetamine,0
Castellon,2017,mdma,10.55
Castellon,2017,amphetamine,0
Castellon,2017,cocaine,319.5
Castellon,2017,methamphetamine,0
Castellon,2018,mdma,2.85
Castellon,2018,amphetamine,0
Castellon,2018,cannabis,64.2
Castellon,2018,cocaine,296.47
Castellon,2018,methamphetamine,0
Castellon,2019,mdma,12.36
Castellon,2019,amphetamine,0
Castellon,2019,cannabis,84.28
Castellon,2019,cocaine,714.41
Castellon,2019,methamphetamine,0
Castellon,2020,mdma,3.34
Castellon,2020,amphetamine,0
Castellon,2020,cannabis,69.49
Castellon,2020,cocaine,437.9
Castellon,2020,methamphetamine,0
Castellon,2021,mdma,5.82
Castellon,2021,cannabis,66.82
Castellon,2021,cocaine,529.38
Castellon,2022,mdma,23.32
Castellon,2022,amphetamine,0
Castellon,2022,cannabis,54.53
Castellon,2022,cocaine,554.3
Castellon,2022,methamphetamine,0
Castellon,2022,ketamine,0
Castellon,2023,mdma,8.13
Castellon,2023,cannabis,75.27
Castellon,2023,cocaine,445.24
Castellon,2023,methamphetamine,0
Castellon,2023,ketamine,3
Castellon,2024,mdma,51.94
Castellon,2024,cannabis,65.04
Castellon,2024,cocaine,752.07
Castellon,2024,ketamine,8.53
Chemnitz,2017,mdma,9.68
Chemnitz,2017,amphetamine,0
Chemnitz,2017,cocaine,20.29
Chemnitz,2017,methamphetamine,240.57
Chemnitz,2018,mdma,12.73
Chemnitz,2018,amphetamine,19.45
Chemnitz,2018,cocaine,12.06
Chemnitz,2018,methamphetamine,196.2
Chemnitz,2019,mdma,5.96
Chemnitz,2019,amphetamine,12.01
Chemnitz,2019,cocaine,13.26
Chemnitz,2019,methamphetamine,276
Chemnitz,2020,mdma,11.66
Chemnitz,2020,amphetamine,19.73
Chemnitz,2020,cocaine,27.34
Chemnitz,2020,methamphetamine,328.95
Chemnitz,2021,mdma,7.79
Chemnitz,2021,cocaine,20.51
Chemnitz,2021,methamphetamine,82.69
Chemnitz,2022,mdma,7.34
Chemnitz,2022,amphetamine,28.38
Chemnitz,2022,cocaine,27.13
Chemnitz,2022,methamphetamine,279.49
Chemnitz,2023,mdma,12.84
Chemnitz,2023,amphetamine,26.68
Chemnitz,2023,cocaine,57.76
Chemnitz,2023,methamphetamine,346.34
Chemnitz,2024,mdma,11.71
Chemnitz,2024,amphetamine,27.43
Chemnitz,2024,cocaine,57.48
Chemnitz,2024,methamphetamine,362
Chemnitz,2024,ketamine,0
Cluj Napoca,2013,mdma,0
Cluj Napoca,2013,amphetamine,0
Cluj Napoca,2013,cannabis,0
Cluj Napoca,2013,cocaine,0
Cluj Napoca,2013,methamphetamine,0
Copenhagen,2013,mdma,19.47
Copenhagen,2013,amphetamine,30.64
Copenhagen,2013,cocaine,218.55
Copenhagen,2013,methamphetamine,9.78
Copenhagen,2014,mdma,28.21
Copenhagen,2014,cocaine,341.8
Copenhagen,2014,methamphetamine,0
Copenhagen,2015,mdma,53.08
Copenhagen,2015,amphetamine,14.68
Copenhagen,2015,cocaine,337.15
Copenhagen,2015,methamphetamine,11.66
Copenhagen,2018,mdma,18.25
Copenhagen,2018,amphetamine,59.45
Copenhagen,2018,cocaine,465.72
Copenhagen,2018,methamphetamine,16.22
Copenhagen,2019,mdma,36.91
Copenhagen,2019,amphetamine,74.27
Copenhagen,2019,cocaine,599.71
Copenhagen,2019,methamphetamine,23.68
Copenhagen,2021,mdma,34.65
Copenhagen,2021,amphetamine,91.51
Copenhagen,2021,cocaine,533.35
Copenhagen,2021,methamphetamine,42.91
Copenhagen,2022,mdma,29.25
Copenhagen,2022,amphetamine,70.59
Copenhagen,2022,cocaine,647.35
Copenhagen,2022,methamphetamine,25.2
Copenhagen,2022,ketamine,16.82
Copenhagen,2024,mdma,37
Copenhagen,2024,amphetamine,95.78
Copenhagen,2024,cannabis,123.35
Copenhagen,2024,cocaine,548.44
Copenhagen,2024,methamphetamine,25.38
Copenhagen,2024,ketamine,33.44
Debrecen,2023,mdma,11.66
Debrecen,2023,amphetamine,35.23
Debrecen,2023,cannabis,13.12
Debrecen,2023,cocaine,24.61
Debrecen,2023,methamphetamine,0.42
Debrecen,2023,ketamine,0.6
Dortmund,2013,mdma,13.75
Dortmund,2013,amphetamine,92.22
Dortmund,2013,cannabis,84.53
Dortmund,2013,cocaine,324.14
Dortmund,2013,methamphetamine,0
Dortmund,2014,mdma,11.25
Dortmund,2014,amphetamine,138.29
Dortmund,2014,cocaine,243.26
Dortmund,2014,methamphetamine,0
Dortmund,2015,mdma,16.58
Dortmund,2015,amphetamine,163.4
Dortmund,2015,cocaine,275.46
Dortmund,2015,methamphetamine,0
Dortmund,2016,mdma,23.74
Dortmund,2016,amphetamine,150.39
Dortmund,2016,cocaine,420.74
Dortmund,2016,methamphetamine,3.73
Dortmund,2017,mdma,18.56
Dortmund,2017,amphetamine,168.73
Dortmund,2017,cocaine,428.67
Dortmund,2017,methamphetamine,0
Dortmund,2018,mdma,21.23
Dortmund,2018,amphetamine,138.15
Dortmund,2018,cocaine,379.08
Dortmund,2018,methamphetamine,2.95
Dortmund,2019,mdma,15.34
Dortmund,2019,amphetamine,188.83
Dortmund,2019,cocaine,374.78
