,Year,Metabolite,Site ID,Country_x,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean,nuts_code,GEO (Codes),GEO (Labels),GDP (M EUR),Country_y
126,2024,cocaine,CZ003,CZ,Karlovy Vary,84.43,87.61,105.32,129.95,139.63,112.88,62.6,78.21,121.95,103.2,CZ041,CZ041,Karlovarský kraj,5381.52,CZ
127,2024,cocaine,CZ004,CZ,Ostrava,87.97,86.72,103.08,181.02,185.18,108.93,81.68,85.46,144.55,119.23,CZ080,CZ080,Moravskoslezský kraj,27398.34,CZ
128,2024,cocaine,CZ005,CZ,Plzen,155.68,154.77,229.97,279.97,271.35,169.92,139.03,149.82,237.8,200.1,CZ032,CZ032,Plzeňský kraj,15512.85,CZ
129,2024,cocaine,CZ006,CZ,Prague (2),385.12,452.78,454.74,825.39,580.96,428.38,384.68,407.53,572.37,501.72,CZ010,CZ010,Hlavní město Praha,86596.18,CZ
130,2024,cocaine,DK001,DK,Aalborg,311.04,347.78,537.16,728.38,773.42,424.04,294.99,317.94,615.75,488.12,DK014,DK014,Bornholm,1684.4,DK
131,2024,cocaine,DK002,DK,Aarhus,180.56,184.72,198.63,514.71,423.5,312.25,196.11,187.13,362.27,287.21,DK042,DK042,Østjylland,51837.47,DK
132,2024,cocaine,DK003,DK,Copenhagen,422.85,472.96,492.0,844.85,624.58,524.79,457.08,450.96,621.56,548.44,DK011,DK011,Byen København,76296.4,DK
133,2024,cocaine,DK006,DK,Odense,256.75,288.85,462.84,647.18,664.26,273.54,253.02,266.2,511.96,406.63,DK031,DK031,Fyn,23636.72,DK
134,2024,cocaine,FI002,FI,Helsinki,171.52,176.98,190.98,280.57,280.02,279.79,191.86,180.12,257.84,224.53,FI1B1,FI1B1,Helsinki-Uusimaa,108495.71,FI
135,2024,cocaine,FI007,FI,Kajaani,8.13,13.59,15.12,28.45,23.24,18.29,16.05,12.59,21.27,17.55,FI1D8,FI1D8,Kainuu,2742.53,FI
136,2024,cocaine,FI009,FI,Kokkola,3.57,3.6,3.38,2.87,2.64,2.98,2.35,3.17,2.97,3.05,FI1D5,FI1D5,Keski-Pohjanmaa,2973.7,FI
